uri,is_viral,repost_5m,repost_15m,repost_30m,repost_60m,repost_15_to_30m,repost_acceleration,repost_velocity_ratio,repost_burst_ratio,repost_growth_30_to_60m,like_5m,like_15m,like_30m,like_60m,like_15_to_30m,like_acceleration,like_velocity_ratio,like_burst_ratio,like_growth_30_to_60m,reply_5m,reply_15m,reply_30m,reply_60m,reply_15_to_30m,reply_acceleration,reply_velocity_ratio,reply_burst_ratio,reply_growth_30_to_60m,quote_5m,quote_15m,quote_30m,quote_60m,quote_15_to_30m,quote_acceleration,quote_velocity_ratio,quote_burst_ratio,quote_growth_30_to_60m,ttf_repost_sec,ttf_like_sec,ttf_reply_sec,ttf_quote_sec,text_len,has_embed,author_followers,author_followers_log,author_is_whale,total_engagement_30m,like_repost_ratio_30m,reply_repost_ratio_30m,quote_repost_ratio_30m
at://did:plc:26tsf647wqnoo7umh4ywwz7a/app.bsky.feed.post/3mjdceko4wk2o,1,69,264,560,560,296,32,1.1169811320754717,0.12299465240641712,0.9982174688057041,216,829,1862,1862,1033,204,1.2445783132530122,0.11594202898550725,0.9994632313472893,2,14,31,31,17,3,1.1333333333333333,0.0625,0.96875,9,28,50,50,22,-6,0.7586206896551724,0.17647058823529413,0.9803921568627451,12.033681,17.334556,177.457411,36.38649,298,1,0,0.0,0,2503,3.319073083778966,0.05525846702317291,0.08912655971479501
at://did:plc:26tsf647wqnoo7umh4ywwz7a/app.bsky.feed.post/3mjdeo44vbc25,1,16,30,43,43,13,-17,0.41935483870967744,0.36363636363636365,0.9772727272727273,50,101,148,148,47,-54,0.46078431372549017,0.33557046979865773,0.9932885906040269,1,2,4,4,2,0,0.6666666666666666,0.2,0.8,1,2,3,3,1,-1,0.3333333333333333,0.25,0.75,28.378115,17.635724,58.58493,195.007728,300,1,0,0.0,0,198,3.3636363636363638,0.09090909090909091,0.06818181818181818
at://did:plc:26tsf647wqnoo7umh4ywwz7a/app.bsky.feed.post/3mjdflchpxk26,1,13,29,65,65,36,7,1.2,0.19696969696969696,0.9848484848484849,59,183,397,397,214,31,1.1630434782608696,0.14824120603015076,0.9974874371859297,2,2,5,5,3,1,1.0,0.3333333333333333,0.8333333333333334,0,0,2,2,2,2,2.0,0.0,0.6666666666666666,51.96841,15.676591,124.556488,1088.05538,127,0,0,0.0,0,469,6.015151515151516,0.07575757575757576,0.030303030303030304
at://did:plc:273qqx7d5qvms6e7atzq74f6/app.bsky.feed.post/3mjcxtojpm22r,1,4,14,22,22,8,-6,0.5333333333333333,0.17391304347826086,0.9565217391304348,22,51,83,83,32,-19,0.6153846153846154,0.2619047619047619,0.9880952380952381,0,1,1,1,0,-1,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,49.966956,9.256226,677.117159,9999.0,119,1,0,0.0,0,106,3.608695652173913,0.043478260869565216,0.0
at://did:plc:27htwjllux3ebzjtxujwbqnq/app.bsky.feed.post/3mjd7g5pkwc2y,1,0,0,2,2,2,2,2.0,0.0,0.6666666666666666,2,5,11,11,6,1,1.0,0.16666666666666666,0.9166666666666666,0,0,0,0,0,0,0.0,0.0,0.0,0,1,1,1,0,-1,0.0,0.0,0.5,1361.005481,152.43953,9999.0,714.023491,144,1,0,0.0,0,14,3.6666666666666665,0.0,0.3333333333333333
at://did:plc:27yrsnidknucdj5vso2x553y/app.bsky.feed.post/3mjdgwklexs2s,1,12,23,32,32,9,-14,0.375,0.36363636363636365,0.9696969696969697,98,167,227,227,60,-107,0.35714285714285715,0.4298245614035088,0.9956140350877193,11,21,27,27,6,-15,0.2727272727272727,0.39285714285714285,0.9642857142857143,0,0,0,0,0,0,0.0,0.0,0.0,61.14913,6.971136,28.098953,9999.0,175,0,0,0.0,0,286,6.878787878787879,0.8181818181818182,0.0
at://did:plc:2ag2boorsqavevplyfsjwhyr/app.bsky.feed.post/3mjcdchthxk2c,1,0,0,4,4,4,4,4.0,0.0,0.8,0,7,64,64,57,50,7.125,0.0,0.9846153846153847,0,0,3,3,3,3,3.0,0.0,0.75,0,0,0,0,0,0,0.0,0.0,0.0,1022.301382,428.004211,1133.799215,9999.0,261,0,0,0.0,0,71,12.8,0.6,0.0
at://did:plc:2amnkge5a6hplfwyesmxqkfl/app.bsky.feed.post/3mjcm2fo5as2j,1,22,42,72,72,30,-12,0.6976744186046512,0.3013698630136986,0.9863013698630136,55,120,231,231,111,-9,0.9173553719008265,0.23706896551724138,0.9956896551724138,3,7,9,9,2,-5,0.25,0.3,0.9,0,2,10,10,8,6,2.6666666666666665,0.0,0.9090909090909091,25.519481,18.244875,99.663475,819.789604,298,1,0,0.0,0,322,3.164383561643836,0.1232876712328767,0.136986301369863
at://did:plc:2asj5ke4dvqriammgbokgetd/app.bsky.feed.post/3mjblmzvkhc2a,1,10,27,36,36,9,-18,0.32142857142857145,0.2702702702702703,0.972972972972973,57,112,172,172,60,-52,0.5309734513274337,0.32947976878612717,0.9942196531791907,2,5,9,9,4,-1,0.6666666666666666,0.2,0.9,1,1,2,2,1,0,0.5,0.3333333333333333,0.6666666666666666,17.42674,14.059953,162.626626,82.233737,163,0,0,0.0,0,219,4.648648648648648,0.24324324324324326,0.05405405405405406
at://did:plc:2b2gav45qwiqptgmhnksznmv/app.bsky.feed.post/3mjcz7mu5q22x,1,14,46,79,79,33,-13,0.7021276595744681,0.175,0.9875,41,126,260,260,134,8,1.0551181102362204,0.15708812260536398,0.9961685823754789,0,2,6,6,4,2,1.3333333333333333,0.0,0.8571428571428571,0,1,3,3,2,1,1.0,0.0,0.75,16.305287,11.408961,466.873448,501.127326,149,1,0,0.0,0,348,3.25,0.075,0.0375
at://did:plc:2bdfv2evq7zgphz3k4uijf4a/app.bsky.feed.post/3mjcthwywrs2p,1,2,21,40,40,19,-2,0.8636363636363636,0.04878048780487805,0.975609756097561,6,74,164,164,90,16,1.2,0.03636363636363636,0.9939393939393939,1,1,1,1,0,-1,0.0,0.5,0.5,0,0,0,0,0,0,0.0,0.0,0.0,260.778514,127.186081,242.229753,9999.0,120,1,0,0.0,0,205,4.0,0.024390243902439025,0.0
at://did:plc:2bgdwzwjujruaakwjavyiwu2/app.bsky.feed.post/3mjdfxmbons26,1,4,9,22,22,13,4,1.3,0.17391304347826086,0.9565217391304348,19,49,101,101,52,3,1.04,0.18627450980392157,0.9901960784313726,0,0,1,1,1,1,1.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,132.742606,21.701074,1338.089643,9999.0,7,1,0,0.0,0,124,4.391304347826087,0.043478260869565216,0.0
